GeneSymbol	GeneID	ChemicalName	ChemicalID	CasRN	Interaction	InteractionActions	PubMedIDs
AAAS	8086	14-deoxy-11,12-didehydroandrographolide	C495626		14-deoxy-11,12-didehydroandrographolide results in decreased expression of AAAS mRNA	decreases^expression	22101062
AAAS	8086	2,3-bis(3'-hydroxybenzyl)butyrolactone	C029497	76543-15-2	[Coumestrol co-treated with 2,3-bis(3'-hydroxybenzyl)butyrolactone] results in increased expression of AAAS mRNA	affects^cotreatment|increases^expression	19167446
AAAS	8086	cobaltous chloride	C018021	7646-79-9	cobaltous chloride results in decreased expression of AAAS mRNA	decreases^expression	19320972
AAAS	8086	Coumestrol	D003375	479-13-0	[Coumestrol co-treated with 2,3-bis(3'-hydroxybenzyl)butyrolactone] results in increased expression of AAAS mRNA	affects^cotreatment|increases^expression	19167446
AAAS	8086	Coumestrol	D003375	479-13-0	Coumestrol results in increased expression of AAAS mRNA	increases^expression	19167446
AAAS	8086	Doxorubicin	D004317	23214-92-8	Doxorubicin results in decreased expression of AAAS mRNA	decreases^expression	29803840
AAAS	8086	Enzyme Inhibitors	D004791		[Enzyme Inhibitors results in decreased activity of OGA protein] which results in increased O-linked glycosylation of AAAS protein	decreases^activity|increases^O-linked glycosylation	23301498
AAAS	8086	MLN7243	C000622638		MLN7243 results in increased sumoylation of AAAS protein	increases^sumoylation	31285264
AAAS	8086	Paraquat	D010269	4685-14-7	AAAS protein affects the susceptibility to Paraquat	affects^response to substance	23315990
AAAS	8086	pirinixic acid	C006253	50892-23-4	[pirinixic acid binds to and results in increased activity of PPARA protein] which results in decreased expression of AAAS mRNA	affects^binding|decreases^expression|increases^activity	19710929
AAAS	8086	Sunitinib	D000077210		Sunitinib results in decreased expression of AAAS mRNA	decreases^expression	31533062
AARS1	16	1-Methyl-4-phenylpyridinium	D015655	48134-75-4	1-Methyl-4-phenylpyridinium results in increased expression of AARS1 mRNA	increases^expression	24810058
AARS1	16	2,2',4,4'-tetrabromodiphenyl ether	C511295		2,2',4,4'-tetrabromodiphenyl ether analog results in increased expression of AARS1 mRNA	increases^expression	19095052
AARS1	16	4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide	C459179		[NOG protein co-treated with entinostat co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of AARS1 mRNA	affects^cotreatment|increases^expression	27188386
AARS1	16	(4-amino-1,4-dihydro-3-(2-pyridyl)-5-thioxo-1,2,4-triazole)copper(II)	C517041		(4-amino-1,4-dihydro-3-(2-pyridyl)-5-thioxo-1,2,4-triazole)copper(II) results in increased expression of AARS1 mRNA	increases^expression	19561079
AARS1	16	4-phenylbutyric acid	C075773	1821-12-1	4-phenylbutyric acid results in decreased expression of AARS1 mRNA	decreases^expression	14583596
AARS1	16	4-phenylbutyric acid	C075773	1821-12-1	4-phenylbutyric acid results in increased expression of AARS1 mRNA	increases^expression	14583596
AARS1	16	Acetaminophen	D000082	103-90-2	Acetaminophen results in increased expression of AARS1 mRNA	increases^expression	29067470
AARS1	16	Air Pollutants, Occupational	D000395		Air Pollutants, Occupational results in decreased expression of AARS1 mRNA	decreases^expression	23195993
AARS1	16	Arsenic Trioxide	D000077237	1327-53-3	Arsenic Trioxide results in decreased expression of AARS1 protein	decreases^expression	19364129
AARS1	16	Ascorbic Acid	D001205	50-81-7	Ascorbic Acid results in decreased expression of AARS1 mRNA	decreases^expression	19197388
AARS1	16	Benzo(a)pyrene	D001564	50-32-8	Benzo(a)pyrene affects the methylation of AARS1 intron	affects^methylation	30157460
AARS1	16	bisphenol A	C006780	80-05-7	bisphenol A results in increased expression of AARS1 mRNA	increases^expression	29275510
AARS1	16	C646 compound	C584509		C646 compound results in increased expression of AARS1 mRNA	increases^expression	26191083
AARS1	16	Cadmium Chloride	D019256	10108-64-2	Cadmium Chloride affects the localization of AARS1 protein	affects^localization	18261755
AARS1	16	Cadmium Chloride	D019256	10108-64-2	Cadmium Chloride results in decreased expression of AARS1 mRNA	decreases^expression	25596134
AARS1	16	Carbamazepine	D002220	298-46-4	Carbamazepine affects the expression of AARS1 mRNA	affects^expression	25979313
AARS1	16	chloroacetaldehyde	C004656	107-20-0	chloroacetaldehyde results in decreased expression of AARS1 mRNA	decreases^expression	25596134
AARS1	16	chloropicrin	C100187	76-06-2	chloropicrin results in decreased expression of AARS1 mRNA	decreases^expression	26352163
AARS1	16	Cidofovir	D000077404	113852-37-2	Cidofovir results in decreased expression of AARS1 mRNA	decreases^expression	25596134
AARS1	16	Cisplatin	D002945	15663-27-1	Cisplatin affects the expression of AARS1 mRNA	affects^expression	23300844
AARS1	16	Cisplatin	D002945	15663-27-1	Cisplatin affects the reaction [Piroxicam results in decreased expression of AARS1 mRNA]	affects^reaction|decreases^expression	21858171
AARS1	16	Cisplatin	D002945	15663-27-1	Cisplatin results in decreased expression of AARS1 mRNA	decreases^expression	25596134
AARS1	16	Clodronic Acid	D004002	10596-23-3	Clodronic Acid results in decreased expression of AARS1 mRNA	decreases^expression	25596134
AARS1	16	cobaltous chloride	C018021	7646-79-9	cobaltous chloride results in decreased expression of AARS1 mRNA	decreases^expression	19320972
AARS1	16	Copper	D003300	7440-50-8	[Disulfiram binds to Copper] which results in increased expression of AARS1 mRNA	affects^binding|increases^expression	24690739
AARS1	16	Coumestrol	D003375	479-13-0	Coumestrol results in increased expression of AARS1 mRNA	increases^expression	19167446
AARS1	16	Curcumin	D003474	458-37-7	Curcumin results in decreased expression of AARS1 mRNA	decreases^expression	17198877
AARS1	16	Cyclosporine	D016572	59865-13-3	Cyclosporine results in increased expression of AARS1 mRNA	increases^expression	20106945|21632981|22147139|25224403|25562108|25596134|27989131
AARS1	16	Decitabine	D000077209	2353-33-5	Decitabine affects the expression of AARS1 mRNA	affects^expression	23300844
AARS1	16	Disulfiram	D004221	97-77-8	[Disulfiram binds to Copper] which results in increased expression of AARS1 mRNA	affects^binding|increases^expression	24690739
AARS1	16	dorsomorphin	C516138		[NOG protein co-treated with entinostat co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of AARS1 mRNA	affects^cotreatment|increases^expression	27188386
